element_id,element_classes,element_target,target_url,page_url,dvce_created_tstamp
,"[""menu-toggle"",""full""]",,https://www.sportsingapore.gov.sg/athletes-coaches/singapore-sport-institute#,https://www.sportsingapore.gov.sg/athletes-coaches/singapore-sport-institute,2020-01-01 12:12:50.803000
ctl20_ctl02_repeater_ctl00_1_link_1,[],,https://www.sportsingapore.gov.sg/Athletes-Coaches/Singapore-Sport-Institute,https://www.sportsingapore.gov.sg/athletes-coaches/singapore-sport-institute,2020-01-01 12:12:54.339000
,"[""cta-btn""]",blank,http://sportsingapore.gov.sg/sports-education/sports-education-programme/programme-criteria,https://www.sportsingapore.gov.sg/Sports-Education/Sports-Education-Programme,2020-01-01 12:16:09.198000
,[],,http://www.sportsingapore.gov.sg/athletes-coaches/coaches-corner/singapore-coach-excellence-programme-sg-coach,https://www.sportsingapore.gov.sg/Athletes-Coaches/Coaches-Corner,2020-01-01 12:49:15.700000
,[],_blank,https://sportshub.spydus.com.sg/cgi-bin/spydus.exe/MSGTRN/OPAC/HOME,https://www.sportsingapore.gov.sg/sports-education/singapore-sports-hub-library,2020-01-01 12:51:35.555000
,[],,https://www.rp.edu.sg/ace/short-course,https://www.sportsingapore.gov.sg/Athletes-Coaches/Coaches-Corner/Singapore-Coach-Excellence-Programme-SG-Coach/SG-Coach-Level-1-Theory-Programme,2020-01-01 12:58:08.746000
,[],,https://www.myactivesg.com/Sports/Find-a-National-Sports-Association,https://www.sportsingapore.gov.sg/national-sports-associations,2020-01-01 13:08:01.627000
,"[""menu-toggle"",""full""]",,https://www.sportsingapore.gov.sg/athletes-coaches/coaches-corner/singapore-coach-excellence-programme-sg-coach/sg-coach-level-1-theory-programme#,https://www.sportsingapore.gov.sg/athletes-coaches/coaches-corner/singapore-coach-excellence-programme-sg-coach/sg-coach-level-1-theory-programme,2020-01-01 13:13:59.316000
,"[""menu-toggle"",""full""]",,https://www.sportsingapore.gov.sg/athletes-coaches/coaches-corner/singapore-coach-excellence-programme-sg-coach/sg-coach-level-1-theory-programme#,https://www.sportsingapore.gov.sg/athletes-coaches/coaches-corner/singapore-coach-excellence-programme-sg-coach/sg-coach-level-1-theory-programme,2020-01-01 13:19:27.012000
,"[""menu-toggle"",""full""]",,https://www.sportsingapore.gov.sg/Athletes-Coaches/Course-Calendar/2019/ASCA-Level-1-Strength-and-Conditioning-Course-29-to-31-Mar-2019#,https://www.sportsingapore.gov.sg/Athletes-Coaches/Course-Calendar/2019/ASCA-Level-1-Strength-and-Conditioning-Course-29-to-31-Mar-2019,2020-01-01 02:04:14.382000
,[],,https://www.sportsingapore.gov.sg/Athletes-Coaches/CoachSG,https://www.sportsingapore.gov.sg/,2020-01-01 02:12:25.339000
ctl22_repeater_link_1,[],,https://www.sportsingapore.gov.sg/SportCares/For-At-Risk-Youth,https://www.sportsingapore.gov.sg/SportCares/Partnerships#Community,2020-01-01 04:05:09.446000
,"[""job-link""]",,https://www.sportsingapore.gov.sg/Careers/Job-Listings?job=536868,https://www.sportsingapore.gov.sg/Careers/Job-Listings?job=536868,2020-01-01 04:05:15.838000
,[],,https://www.sportsingapore.gov.sg/-/media/SSC/Corporate/Files/Athletes-and-Coaches/Singapore-Sports-Institute/High-Performance-Sports/High-Performance-Planning/04092019_Singapore-High-Performance-Sports-Handbook-2019.pdf?la=en&hash=68F2211CBFDC6FC35A268092E509F8E18E3E9C54,https://www.sportsingapore.gov.sg/athletes-coaches/singapore-sport-institute/high-performance-sport/high-performance-planning,2020-01-01 04:17:06.374000
ctl22_repeater_link_0,[],,https://www.sportsingapore.gov.sg/Athletes-Coaches/Anti-Doping-Singapore,https://www.sportsingapore.gov.sg/athletes-coaches/course-calendar,2020-01-01 05:55:18.032000
ctl22_repeater_innerRepeater_3_link_3,[],,https://www.sportsingapore.gov.sg/Athletes-Coaches/Singapore-Sport-Institute/Sport-Medicine,https://www.sportsingapore.gov.sg/Athletes-Coaches/Singapore-Sport-Institute/Sport-Science/Strength-and-Conditioning,2020-01-01 05:56:13.772000
,[],_blank,http://www.myactivesg.com/facilities,https://www.sportsingapore.gov.sg/,2020-01-01 06:21:26.419000
,"[""menu-toggle"",""full""]",,https://www.sportsingapore.gov.sg/#,https://www.sportsingapore.gov.sg/,2020-01-01 07:02:44.490000
ctl20_ctl02_repeater_link_1,[],,https://www.sportsingapore.gov.sg/Athletes-Coaches,https://www.sportsingapore.gov.sg/Athletes-Coaches,2020-01-01 07:04:22.091000
,"[""menu-toggle"",""full""]",,https://www.sportsingapore.gov.sg/search?q=&cx=ssc#,https://www.sportsingapore.gov.sg/search?q=&cx=ssc,2020-01-01 07:06:53.270000
,[],_blank,https://members.myactivesg.com/feedback,https://www.sportsingapore.gov.sg/contact-us,2020-01-01 07:30:21.990000
